slug,name,category,pricingUnit,basePrice_cad,preset_key,preset_model,preset_active,minimumPrice,fileFee,materials_count,finishings_count,addons_count,sizes_count,tier_1,tier_2,tier_3,has_optionsConfig
stickers-roll-labels,Roll Labels,stickers-labels,per_piece,49.00,autobase_banner-stand-x,QTY_TIERED,true,49,0,,,,,1:49,3:46.55,5:44.1,false
stickers-sheet-kisscut,Sticker Sheets (Kiss-Cut),stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
stickers-single-diecut,Die-Cut Stickers,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
transfer-vinyl-lettering,Transfer Vinyl Lettering,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
vinyl-lettering,Vinyl Lettering,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
wall-decals,Wall Decals,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
white-bopp-labels,White BOPP Labels,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
window-decals,Window Decals,stickers-labels,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
boat-lettering-registration,Boat Registration Lettering,vehicle-branding-advertising,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
bumper-sticker-custom,Custom Bumper Sticker,vehicle-branding-advertising,per_piece,1.50,catbase_vehicle_branding_advertising_01,QTY_TIERED,true,0,0,0,0,,,1:1.75,5:1.6625,10:1.575,false
car-door-magnets-pair,Car Door Magnets (Pair),vehicle-branding-advertising,per_piece,65.00,autobase_car-door-magnets-pair,QTY_TIERED,true,65,0,,,,,1:65,3:61.75,5:58.5,false
car-hood-decal,Car Hood Decal,vehicle-branding-advertising,per_piece,180.00,catbase_vehicle_branding_advertising_04,QTY_TIERED,true,0,0,0,0,,,1:220,5:209,10:198,false
custom-cut-vinyl-lettering-any-text,Custom Cut Vinyl Lettering,vehicle-branding-advertising,per_piece,20.00,autobase_crane-lift-capacity-labels,QTY_TIERED,true,20,0,,,,,1:20,3:19,5:18,false
custom-printed-vehicle-logo-decals,Custom Van Logo Decals,vehicle-branding-advertising,per_sqft,18.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
custom-truck-door-lettering-kit,Custom Truck Door Lettering Kit,vehicle-branding-advertising,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
fleet-graphic-package,Fleet Graphic Package,vehicle-branding-advertising,per_piece,250.00,catbase_vehicle_branding_advertising_04,QTY_TIERED,true,0,0,0,0,,,1:220,5:209,10:198,false
full-vehicle-wrap-design-print,Full Vehicle Wrap (Design + Print),vehicle-branding-advertising,per_piece,850.00,catbase_vehicle_branding_advertising_05,QTY_TIERED,true,0,0,0,0,,,1:850,5:807.5,10:765,false
long-term-outdoor-vehicle-decals,Long-Term Outdoor Decals,vehicle-branding-advertising,per_sqft,18.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
magnetic-car-signs,Magnetic Car Signs,vehicle-branding-advertising,per_piece,59.00,autobase_flag-bases-cross,QTY_TIERED,true,59,0,,,,,1:59,3:56.05,5:53.1,false
magnetic-rooftop-sign,Magnetic Rooftop Car Topper,vehicle-branding-advertising,per_piece,120.00,autobase_magnetic-rooftop-sign,QTY_TIERED,true,120,0,,,,,1:120,3:114,5:108,false
magnetic-truck-door-signs,Magnetic Truck Door Signs,vehicle-branding-advertising,per_piece,55.00,autobase_magnetic-truck-door-signs,QTY_TIERED,true,55,0,,,,,1:55,3:52.25,5:49.5,false
partial-wrap-spot-graphics,Partial Wrap Graphics,vehicle-branding-advertising,per_sqft,20.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
printed-truck-door-decals-full-color,Printed Truck Door Decals,vehicle-branding-advertising,per_sqft,16.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
removable-promo-vehicle-decals,Removable Promo Decals,vehicle-branding-advertising,per_sqft,15.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
social-qr-vehicle-decals,Social Media QR Decals,vehicle-branding-advertising,per_piece,15.00,catbase_vehicle_branding_advertising_03,QTY_TIERED,true,0,0,0,0,,,1:13.5,5:12.825,10:12.15,false
tailgate-rear-door-printed-decal,Tailgate Decal,vehicle-branding-advertising,per_sqft,16.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
trailer-box-truck-large-graphics,Trailer Large Graphics,vehicle-branding-advertising,per_sqft,12.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
trailer-full-wrap,53ft Trailer Full Wrap,vehicle-branding-advertising,per_piece,2500.00,catbase_vehicle_branding_advertising_06,QTY_TIERED,true,0,0,0,0,,,1:2500,5:2375,10:2250,false
truck-side-panel-printed-decal,Truck Side Panel Decal,vehicle-branding-advertising,per_sqft,16.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
vehicle-roof-wrap,Vehicle Roof Wrap,vehicle-branding-advertising,per_piece,220.00,catbase_vehicle_branding_advertising_04,QTY_TIERED,true,0,0,0,0,,,1:220,5:209,10:198,false
vehicle-wrap-print-only-quote,Vehicle Wrap (Print Only),vehicle-branding-advertising,per_sqft,22.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
clear-static-cling,Clear Static Cling,window-glass-films,per_sqft,12.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
color-white-color-clear-vinyl,Colour + White + Colour on Clear Vinyl,window-glass-films,per_sqft,28.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
color-white-on-clear-vinyl,Colour + White on Clear Vinyl,window-glass-films,per_sqft,20.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
frosted-matte-window-film,Frosted Matte Window Film,window-glass-films,per_sqft,18.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
frosted-privacy-window-film,Frosted Privacy Film,window-glass-films,per_sqft,20.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
frosted-static-cling,Frosted Static Cling,window-glass-films,per_sqft,14.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
holographic-iridescent-film,Holographic Iridescent Film,window-glass-films,per_sqft,22.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
storefront-hours-door-decal-cut-vinyl,Storefront Hours Decal,window-glass-films,per_piece,35.00,autobase_aisle-markers-hanging,QTY_TIERED,true,35,0,,,,,1:35,3:33.25,5:31.5,false
vehicle-window-tint-graphic,Perforated Window Tint Graphic,window-glass-films,per_piece,35.00,autobase_aisle-markers-hanging,QTY_TIERED,true,35,0,,,,,1:35,3:33.25,5:31.5,false
window-cut-vinyl-lettering,Window Cut Vinyl Lettering,window-glass-films,per_piece,20.00,autobase_crane-lift-capacity-labels,QTY_TIERED,true,20,0,,,,,1:20,3:19,5:18,false
window-graphics-perforated,Perforated Window Graphics,window-glass-films,per_sqft,16.00,largeformat_roll_default,AREA_TIERED,true,25,5,,,,,4:2.5,12:2,32:1.5,false
window-lettering-business,Business Window Lettering,window-glass-films,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
window-lettering-cut-vinyl,Window Lettering,window-glass-films,per_piece,25.00,autobase_cvor-number-decals,QTY_TIERED,true,25,0,,,,,1:25,3:23.75,5:22.5,false
